ATL,AUS,route,811
ATL,BNA,route,214
ATL,BOS,route,945
ATL,BWI,route,576
ATL,DCA,route,546
ATL,DFW,route,729
ATL,FLL,route,581
ATL,IAD,route,533
ANC,DFW,route,3030
AUS,ATL,route,809
AUS,BNA,route,755
AUS,BOS,route,1690
AUS,BWI,route,1339
AUS,DCA,route,1313
AUS,DFW,route,190
AUS,FLL,route,1110
AUS,IAD,route,1294
BNA,ATL,route,214
BNA,AUS,route,755
BNA,BOS,route,939
BNA,BWI,route,586
BNA,DCA,route,560
BNA,DFW,route,630
BNA,FLL,route,793
BNA,IAD,route,540
BOS,ATL,route,945
BOS,AUS,route,1690
BOS,BNA,route,939
BOS,BWI,route,368
BOS,DCA,route,398
BOS,DFW,route,1560
BOS,FLL,route,1240
BOS,IAD,route,411
BWI,ATL,route,577
BWI,BNA,route,586
BWI,BOS,route,368
BWI,DFW,route,1210
BWI,FLL,route,925
DCA,ATL,route,547
DCA,AUS,route,1313
DCA,BNA,route,560
DCA,BOS,route,398
DCA,DFW,route,1190
DCA,FLL,route,899
DFW,ATL,route,729
DFW,ANC,route,3030
DFW,AUS,route,190
DFW,BNA,route,630
DFW,BOS,route,1560
DFW,BWI,route,1210
DFW,DCA,route,1190
DFW,FLL,route,1120
DFW,IAD,route,1170
FLL,ATL,route,582
FLL,AUS,route,1110
FLL,BNA,route,793
FLL,BOS,route,1240
FLL,BWI,route,925
FLL,DCA,route,899
FLL,DFW,route,1120
FLL,IAD,route,901
IAD,ATL,route,535
IAD,AUS,route,1294
IAD,BNA,route,540
IAD,BOS,route,411
IAD,DFW,route,1170
IAD,FLL,route,901